"nudge_text","model","estimate","std.error","p.value","term","panel"
"Buy 1 Get 1 Free","Single Model",0.713726562460811,0.0487266313022641,3.0717241830767e-42,"product_is_nudged","Nudge × Model (EMM)"
"There is a newer version of this product available X (-1)","Single Model",0.137975923086451,0.0840582114734877,0.101186861597022,"product_is_nudged","Nudge × Model (EMM)"
"This product cannot be returned-Final sale. X (-1)","Single Model",0.199283986399308,0.0814924874195286,0.0147298857528825,"product_is_nudged","Nudge × Model (EMM)"
"This product has been purchased by 50,000+ customers","Single Model",0.213199797871575,0.0609309228023043,0.000498515359369926,"product_is_nudged","Nudge × Model (EMM)"
"This product is a best seller!","Single Model",0.248635200925483,0.0634264168107237,9.78326402017741e-05,"product_is_nudged","Nudge × Model (EMM)"
"This product is a limited edition","Single Model",0.106629411166382,0.0849250072524264,0.209718435714463,"product_is_nudged","Nudge × Model (EMM)"
"This product is available only for the next hour-Buy now!","Single Model",0.121365081103725,0.0749678542013278,0.105950506213842,"product_is_nudged","Nudge × Model (EMM)"
"This product is highly recommended by experts","Single Model",0.240441197743848,0.053430813881854,8.03720561186635e-06,"product_is_nudged","Nudge × Model (EMM)"
"This product is Wirecutter's top pick","Single Model",0.439230153180144,0.0683108609113592,2.45984052401345e-10,"product_is_nudged","Nudge × Model (EMM)"
"This product qualifies for free shipping","Single Model",0.1324554855918,0.0443121119378039,0.00290220450686279,"product_is_nudged","Nudge × Model (EMM)"
