category,target_name,target_url,target_price,target_rating,target_reviews,competitor_name,competitor_url,competitor_price,competitor_rating,competitor_reviews,decoy_name,decoy_url,decoy_price,decoy_rating,decoy_reviews,tc_price_premium_pct,tc_rating_adv,dt_price_premium_pct,td_rating_adv
Artificial Plants & Flowers,"Beferr 6Pcs Artificial Eucalyptus Stems Bulk 24"" Faux Flower Stems Tall Eucalyptus Branches Silk Plants Greenery Bouquet for Wedding Home Decor",${env.abxlab_url}beferr-6pcs-artificial-eucalyptus-stems-bulk-24-faux-flower-stems-tall-eucalyptus-branches-silk-plants-greenery-bouquet-for-wedding-home-decor.html,20.99,93.0,12,Dried Eucalyptus Branches Real 12 Pcs Eucalyptus Stems 18 inch Eucalyptus Plant Indoor for Shower Wedding Home DIY Party Restaurant Hotel Office Decoration,${env.abxlab_url}dried-eucalyptus-branches-real-12-pcs-eucalyptus-stems-18-inch-eucalyptus-plant-indoor-for-shower-wedding-home-diy-party-restaurant-hotel-office-decoration.html,18.6,63.0,8,Illumina Fake Hanging Planters with Fake Plants | 4PC Hanging Fake Plants | Indoor and Outdoor Hanging Artificial Plant | Small Hanging Plant Home Decor | Artificial Hanging Plants with Pot,${env.abxlab_url}illumina-fake-hanging-planters-with-fake-plants-4pc-hanging-fake-plants-indoor-and-outdoor-hanging-artificial-plant-small-hanging-plant-home-decor-artificial-hanging-plants-with-pot.html,24.49,87.0,3,0.1284946236559138,30.0,0.1667460695569319,6.0
Artificial Plants & Flowers,Artificial Succulent Plants Faux Assorted – 16 PCS Unpotted Succulent Plants Arrangement Textured Cactus Stems Pick - Fake Cacti Aloe Succulent Variety Floral Decorative Bouquet Pack with a Gift Bag,${env.abxlab_url}artificial-succulent-plants-faux-assorted-16-pcs-unpotted-succulent-plants-arrangement-textured-cactus-stems-pick-fake-cacti-aloe-succulent-variety-floral-decorative-bouquet-pack-with-a-gift-bag.html,17.99,92.0,12,"Blingstar Artificial Flowers, Tall Floor Fake Plants, 2 Pack Plastic Chrysanthemum with Rattan Baskets, Large Faux Potted Plants for House Office Room Party Indoor Decor, Installation Size: 9x9x23.6In",${env.abxlab_url}blingstar-artificial-flowers-tall-floor-fake-plants-2-pack-plastic-chrysanthemum-with-rattan-baskets-large-faux-potted-plants-for-house-office-room-party-indoor-decor-installation-size-9x9x23-6in.html,15.99,80.0,12,Faux Eucalyptus Plants in Rustic Rectangular Wood Planter Box Artificial Eucalyptus Greenery Arrangement Potted Plant in Dusty Green for Wedding Centerpiece Office Room Table Windowsill Décor,${env.abxlab_url}faux-eucalyptus-plants-in-rustic-rectangular-wood-planter-box-artificial-eucalyptus-greenery-arrangement-potted-plant-in-dusty-green-for-wedding-centerpiece-office-room-table-windowsill-decor.html,19.99,88.0,12,0.1250781738586615,12.0,0.1111728738187882,4.0
Artificial Plants & Flowers,"Blingstar Artificial Flowers, Tall Floor Fake Plants, 2 Pack Plastic Chrysanthemum with Rattan Baskets, Large Faux Potted Plants for House Office Room Party Indoor Decor, Installation Size: 9x9x23.6In",${env.abxlab_url}blingstar-artificial-flowers-tall-floor-fake-plants-2-pack-plastic-chrysanthemum-with-rattan-baskets-large-faux-potted-plants-for-house-office-room-party-indoor-decor-installation-size-9x9x23-6in.html,15.99,80.0,12,Auihiay 10 Pieces 5 Kinds Artificial Floating Foam Lotus Leaves Lily Pads Artificial Foliage Pond Decor for Pond Pool Aquarium Decoration,${env.abxlab_url}auihiay-10-pieces-5-kinds-artificial-floating-foam-lotus-leaves-lily-pads-artificial-foliage-pond-decor-for-pond-pool-aquarium-decoration.html,12.99,62.0,12,"AceList Fake Monstera with Metal Hanger Set, Artificial Hanging Plants in Modern Planter, Tropical Plants for Indoor/Outdoor Home Office Bathroom Decor",${env.abxlab_url}acelist-fake-monstera-with-metal-hanger-set-artificial-hanging-plants-in-modern-planter-tropical-plants-for-indoor-outdoor-home-office-bathroom-decor.html,23.99,77.0,12,0.23094688221709,18.0,0.5003126954346465,3.0
Breads,"Mission Foods Carb Balance Whole Wheat Soft Taco, 8 ct - 0g Trans Fat per serving",${env.abxlab_url}mission-foods-carb-balance-whole-wheat-soft-taco-8-ct-0g-trans-fat-per-serving.html,39.32,97.0,7,"The Cheesecake Factory ""Brown Bread"" Sweet Demi Baguette - 2 Pack",${env.abxlab_url}the-cheesecake-factory-brown-bread-sweet-demi-baguette-2-pack.html,31.33,88.0,12,"Snyder's of Hanover Honey Wheat Braided Twist, 10-Ounce (Pack of 6)",${env.abxlab_url}snyder-s-of-hanover-honey-wheat-braided-twist-10-ounce-pack-of-6.html,41.84,90.0,12,0.2550271305458028,9.0,0.064089521871821,7.0
Breads,"B&M Brown Bread, Original Flavor, 16 Ounce (Pack of 12)",${env.abxlab_url}b-m-brown-bread-original-flavor-16-ounce-pack-of-12.html,42.5,75.0,12,Great Low Carb Bread Co. - Hot Dog Buns - 3 Bags,${env.abxlab_url}great-low-carb-bread-co-hot-dog-buns-3-bags.html,35.0,64.0,11,"Oroweat Jewish Rye Bread, 16 Oz",${env.abxlab_url}oroweat-jewish-rye-bread-16-oz.html,52.63,70.0,12,0.2142857142857142,11.0,0.2383529411764706,5.0
Breads,"Mission Foods Carb Balance Whole Wheat Soft Taco, 8 ct - 0g Trans Fat per serving",${env.abxlab_url}mission-foods-carb-balance-whole-wheat-soft-taco-8-ct-0g-trans-fat-per-serving.html,39.32,97.0,7,Jewish Rye Bread Pack of 4,${env.abxlab_url}jewish-rye-bread-pack-of-4.html,30.95,78.0,12,"Snyder's of Hanover Honey Wheat Braided Twist, 10-Ounce (Pack of 6)",${env.abxlab_url}snyder-s-of-hanover-honey-wheat-braided-twist-10-ounce-pack-of-6.html,41.84,90.0,12,0.2704361873990307,19.0,0.064089521871821,7.0
Breads,"Mestemacher Natural High Fiber Bread 3 Flavor Variety Bundle: (1) Mestemacher Organic Three Grain Bread, (1) Mestemacher Pumpernickel Bread, and (1) Mestemacher Whole Rye Bread, 17.6 Oz. Ea. (3 Total)",${env.abxlab_url}mestemacher-natural-high-fiber-bread-3-flavor-variety-bundle-1-mestemacher-organic-three-grain-bread-1-mestemacher-pumpernickel-bread-and-1-mestemacher-whole-rye-bread-17-6-oz-ea-3-total.html,12.89,77.0,12,Keto Hot Dog Buns 8 ct by Keto Culture Baking Made in USA,${env.abxlab_url}keto-hot-dog-buns-8-ct-by-keto-culture-baking-made-in-usa.html,9.99,43.0,12,"Reduced Carb/Flax, Oat Bran & Whole Wheat Tortillas, 6 tortillas",${env.abxlab_url}reduced-carb-flax-oat-bran-whole-wheat-tortillas-6-tortillas.html,13.99,73.0,8,0.2902902902902903,34.0,0.0853374709076803,4.0
Breads,"Gourmet Cinnamon Bread | All Natural, Sweet, Delicious, Moist, Unsliced, Freezer Friendly | Sweet Paradise Fine Foods (Cinnamon Raisin, 20 Ounce (Pack of 4))",${env.abxlab_url}gourmet-cinnamon-bread-all-natural-sweet-delicious-moist-unsliced-freezer-friendly-sweet-paradise-fine-foods-cinnamon-raisin-20-ounce-pack-of-4.html,36.99,100.0,3,European Fruit & Nut Dark Rye Bread Pack of 4,${env.abxlab_url}european-fruit-nut-dark-rye-bread-pack-of-4.html,29.95,75.0,4,"Mission Foods Carb Balance Whole Wheat Soft Taco, 8 ct - 0g Trans Fat per serving",${env.abxlab_url}mission-foods-carb-balance-whole-wheat-soft-taco-8-ct-0g-trans-fat-per-serving.html,39.32,97.0,7,0.2350584307178632,25.0,0.0629899972965666,3.0
Cell Phones,Xiaomi Redmi Note 10 Pro | 128GB 6GB RAM | Factory Unlocked (GSM ONLY | Not Compatible with Verizon/Sprint) | International Model (Glacier Blue),${env.abxlab_url}xiaomi-redmi-note-10-pro-128gb-6gb-ram-factory-unlocked-gsm-only-not-compatible-with-verizon-sprint-international-model-glacier-blue.html,300.0,73.0,12,"Google Pixel 4a with 5G, 6.2"", 128GB, 6GB RAM, Unlocked Cellular - Just Black (Renewed)",${env.abxlab_url}google-pixel-4a-with-5g-6-2-128gb-6gb-ram-unlocked-cellular-just-black-renewed.html,273.5,60.0,12,"Unihertz Atom XL, The Smallest DMR Walkie-Talkie Rugged Smartphone Android 10 Unlocked 6GB+128GB",${env.abxlab_url}unihertz-atom-xl-the-smallest-dmr-walkie-talkie-rugged-smartphone-android-10-unlocked-6gb-128gb.html,339.99,68.0,12,0.0968921389396709,13.0,0.1333,5.0
Cell Phones,"Unihertz Atom XL, The Smallest DMR Walkie-Talkie Rugged Smartphone Android 10 Unlocked 6GB+128GB",${env.abxlab_url}unihertz-atom-xl-the-smallest-dmr-walkie-talkie-rugged-smartphone-android-10-unlocked-6gb-128gb.html,339.99,68.0,12,"Google Pixel 4a with 5G, 6.2"", 128GB, 6GB RAM, Unlocked Cellular - Just Black (Renewed)",${env.abxlab_url}google-pixel-4a-with-5g-6-2-128gb-6gb-ram-unlocked-cellular-just-black-renewed.html,273.5,60.0,12,Google Pixel 4 - Just Black - 64GB - Unlocked,${env.abxlab_url}google-pixel-4-just-black-64gb-unlocked.html,368.99,60.0,12,0.2431078610603291,8.0,0.0852966263713638,8.0
