category,target_name,target_url,target_price,target_rating,target_reviews,competitor_name,competitor_url,competitor_price,competitor_rating,competitor_reviews,decoy_name,decoy_url,decoy_price,decoy_rating,decoy_reviews,tc_price_premium_pct,tc_rating_adv,dt_price_premium_pct,td_rating_adv,score_moderate
Deodorants & Antiperspirants,"Mitchum For Women Advanced Control Anti-Perspirant Deodorant Clear Gel, Shower Fresh 3.4oz ( Pack of 3)",${env.abxlab_url}mitchum-for-women-advanced-control-anti-perspirant-deodorant-clear-gel-shower-fresh-3-4oz-pack-of-3.html,17.55,73.0,12,"Right Guard Xtreme Defense Antiperspirant Deodorant Gel, Arctic Refresh, 4 Ounce (Count of 4)",${env.abxlab_url}right-guard-xtreme-defense-antiperspirant-deodorant-gel-arctic-refresh-4-ounce-count-of-4.html,15.98,69.0,9,"Dove Dry Spray Antiperspirant, Original Clean 3.80 oz (Pack of 4)",${env.abxlab_url}dove-dry-spray-antiperspirant-original-clean-3-80-oz-pack-of-4.html,19.15,70.0,2,0.0982478097622027,4.0,0.091168091168091,3.0,0.1223363962788252
Cookies,Harry & David Dark Chocolate Wafer Rolls 10 oz,${env.abxlab_url}harry-david-dark-chocolate-wafer-rolls-10-oz.html,15.95,80.0,3,COOKIE SNDWCH ROYAL VNLLA 8OZ,${env.abxlab_url}cookie-sndwch-royal-vnlla-8oz.html,13.95,76.0,9,Lucy's - Gluten Free Cookies Cinnamon Thin - 5.5 oz (pack of 2),${env.abxlab_url}lucy-s-gluten-free-cookies-cinnamon-thin-5-5-oz-pack-of-2.html,17.99,77.0,12,0.1433691756272401,4.0,0.1278996865203761,3.0,0.20507544859046478
Cookies,Harry & David Dark Chocolate Wafer Rolls 10 oz,${env.abxlab_url}harry-david-dark-chocolate-wafer-rolls-10-oz.html,15.95,80.0,3,Trader Joe's Petite Pumpkin Spice Cookies 10 oz. (Pack of 2),${env.abxlab_url}trader-joe-s-petite-pumpkin-spice-cookies-10-oz-pack-of-2.html,13.93,76.0,10,Lucy's - Gluten Free Cookies Cinnamon Thin - 5.5 oz (pack of 2),${env.abxlab_url}lucy-s-gluten-free-cookies-cinnamon-thin-5-5-oz-pack-of-2.html,17.99,77.0,12,0.145010768126346,4.0,0.1278996865203761,3.0,0.21164181858688835
Cookies,Krunchy Melts Chocolate Meringue Cookies 4 oz Tub (Pack of 2),${env.abxlab_url}krunchy-melts-chocolate-meringue-cookies-4-oz-tub-pack-of-2.html,30.99,76.0,9,"Little Dutch Maid Almond Windmill Cookie, 10-Ounce (Pack of 12)",${env.abxlab_url}little-dutch-maid-almond-windmill-cookie-10-ounce-pack-of-12.html,26.99,72.0,12,CYBELES COOKIE CHC CHNK BROWNIE,${env.abxlab_url}cybeles-cookie-chc-chnk-brownie.html,38.36,73.0,12,0.1482030381622823,4.0,0.2378186511777993,3.0,0.6640867573603264
Deodorants & Antiperspirants,Mitchum For Women Advanced Control Anti-Perspirant Deodorant Invisible Solid Pure Fresh 2.70 oz (Pack of 6),${env.abxlab_url}mitchum-for-women-advanced-control-anti-perspirant-deodorant-invisible-solid-pure-fresh-2-70-oz-pack-of-6.html,22.18,87.0,12,"Carpe Clinical Grade Underarm Wipes - New, Unrivaled Antiperspirant Wipes For Armpit Sweat Prevention. Combat Sweat, Block Excessive Sweating, & Help Control Hyperhidrosis.15 Anti Sweat Wipes.",${env.abxlab_url}carpe-clinical-grade-underarm-wipes-new-unrivaled-antiperspirant-wipes-for-armpit-sweat-prevention-combat-sweat-block-excessive-sweating-help-control-hyperhidrosis-15-anti-sweat-wipes.html,19.95,83.0,12,"Dove Men+Care Antiperspirant hydrating, water-based deodorant Coastal Cedar with our best non-irritant formula 2.6 oz 2 Count",${env.abxlab_url}dove-men-care-antiperspirant-hydrating-water-based-deodorant-coastal-cedar-with-our-best-non-irritant-formula-2-6-oz-2-count.html,23.98,85.0,12,0.1117794486215539,4.0,0.0811541929666366,2.0,1.1082654336472382
Deodorants & Antiperspirants,Mitchum For Women Advanced Control Anti-Perspirant Deodorant Invisible Solid Pure Fresh 2.70 oz (Pack of 6),${env.abxlab_url}mitchum-for-women-advanced-control-anti-perspirant-deodorant-invisible-solid-pure-fresh-2-70-oz-pack-of-6.html,22.18,87.0,12,"Duradry Body Deodorant Spray - Aluminum Free Deodorant, Prevent and Eliminate Any Body Odor Naturally - Unscented, 2.4 Fl Oz (Pack of 3)",${env.abxlab_url}duradry-body-deodorant-spray-aluminum-free-deodorant-prevent-and-eliminate-any-body-odor-naturally-unscented-2-4-fl-oz-pack-of-3.html,19.99,83.0,12,"Dove Men+Care Antiperspirant hydrating, water-based deodorant Coastal Cedar with our best non-irritant formula 2.6 oz 2 Count",${env.abxlab_url}dove-men-care-antiperspirant-hydrating-water-based-deodorant-coastal-cedar-with-our-best-non-irritant-formula-2-6-oz-2-count.html,23.98,85.0,12,0.1095547773886944,4.0,0.0811541929666366,2.0,1.117164118578676
Chocolate,Milka Milkinis Chocolate Bar Candy Original German Chocolate 87g/3.06oz,${env.abxlab_url}milka-milkinis-chocolate-bar-candy-original-german-chocolate-87g-3-06oz.html,59.9,55.0,4,"TOFFIFAY Hazelnut Candies, 4 Piece Box (1.16 Ounce), Caramel Candy, Hazelnut Candy, Chocolate Candy, Sweets for Home, Road Trips or Parties, Great Holiday Gift Idea or Birthday Gift Idea",${env.abxlab_url}toffifay-hazelnut-candies-4-piece-box-1-16-ounce-caramel-candy-hazelnut-candy-chocolate-candy-sweets-for-home-road-trips-or-parties-great-holiday-gift-idea-or-birthday-gift-idea.html,54.26,52.0,12,"HERSHEY'S KISSES Milk Chocolate Candy, Valentine's Day Gift, 6.5 Oz., Heart Box",${env.abxlab_url}hershey-s-kisses-milk-chocolate-candy-valentine-s-day-gift-6-5-oz-heart-box.html,65.0,52.0,5,0.1039439734611131,3.0,0.0851419031719532,3.0,1.1236564934677347
Cookies,"OREO Chocolate Sandwich Cookies, Family Size, 19.1 oz",${env.abxlab_url}oreo-chocolate-sandwich-cookies-family-size-19-1-oz.html,46.32,88.0,12,"Tates Bake Shop Coconut Crisp Cookies, 7 Oz (3)",${env.abxlab_url}tates-bake-shop-coconut-crisp-cookies-7-oz-3.html,41.15,85.0,12,"Partake Crunchy Cookies - Chocolate Chip | 4 Boxes | Vegan & Gluten Free | Free of Top 8 Allergens- Dairy Free, Nut Free, Egg Free, Wheat Free, Soy Free, Fish Free | 5.5 Oz | 15 Cookies Each",${env.abxlab_url}partake-crunchy-cookies-chocolate-chip-4-boxes-vegan-gluten-free-free-of-top-8-allergens-dairy-free-nut-free-egg-free-wheat-free-soy-free-fish-free-5-5-oz-15-cookies-each.html,52.18,85.0,12,0.1256379100850547,3.0,0.1265112262521588,3.0,1.128596545348854
Cookies,"Whole Foods Market, Cookie Peanut Butter Mini 18 Count, 12 Ounce",${env.abxlab_url}whole-foods-market-cookie-peanut-butter-mini-18-count-12-ounce.html,24.6,77.0,12,Fresh Sicilian Candied Orange Peel - Frank and Sal Bakery.. 1 Pound,${env.abxlab_url}fresh-sicilian-candied-orange-peel-frank-and-sal-bakery-1-pound.html,22.0,73.0,11,"Journey of Asia ""Seri's Choice KOREAN Snack"" Box 36 Count Individual Wrapped Essentials Packs of Candy, Snacks, Chips, Cookies, Treats for Kids, Children, College Students, Adult and Senior",${env.abxlab_url}journey-of-asia-seri-s-choice-korean-snack-box-36-count-individual-wrapped-essentials-packs-of-candy-snacks-chips-cookies-treats-for-kids-children-college-students-adult-and-senior.html,27.84,75.0,12,0.1181818181818182,4.0,0.1317073170731706,2.0,1.1341019955654097
Toothpaste,Crest Baking Soda And Peroxide Whitening With Tartar Protection Fresh Mint Flavor Toothpaste 8.2 Oz (Pack of 6),${env.abxlab_url}crest-baking-soda-and-peroxide-whitening-with-tartar-protection-fresh-mint-flavor-toothpaste-8-2-oz-pack-of-6.html,26.04,85.0,12,PerioScript® Oral Cleansing Concentrate 4 oz Bottle,${env.abxlab_url}perioscriptr-oral-cleansing-concentrate-4-oz-bottle.html,23.89,82.0,12,"Arm & Hammer PeroxiCare Healthy Gums Toothpaste, Baking Soda & Peroxide, Fresh Mint, 6 Ounce (Pack of 3)",${env.abxlab_url}arm-hammer-peroxicare-healthy-gums-toothpaste-baking-soda-peroxide-fresh-mint-6-ounce-pack-of-3.html,28.76,82.0,11,0.089995814148179,3.0,0.1044546850998464,3.0,1.1378354838066693
