category,target_name,target_url,target_price,target_rating,target_reviews,competitor_name,competitor_url,competitor_price,competitor_rating,competitor_reviews,decoy_name,decoy_url,decoy_price,decoy_rating,decoy_reviews,tc_price_premium_pct,tc_rating_adv,dt_price_premium_pct,td_rating_adv
Chocolate,"Maple Candy, 12 piece Box",${env.abxlab_url}maple-candy-12-piece-box.html,14.77,83.0,15,"Garden Chocolate Crunch Candy, 12-Ounce",${env.abxlab_url}garden-chocolate-crunch-candy-12-ounce.html,12.35,78.0,8,Lindt Excellence Extra Creamy Milk Chocolate Bar 3.5 oz each (4 Items Per Order),${env.abxlab_url}lindt-excellence-extra-creamy-milk-chocolate-bar-3-5-oz-each-4-items-per-order.html,17.98,80.0,8,0.19595141700404858,5.0,0.21733243060257285,3.0
Cookies,"Baklava Assortment Gift Box (26.5 oz),Gift Basket,Petite Gourmet,Best Gift For Mother Day , Layali Desserts, Nuts gift, Gift for women,Get Well Corporate Basket , baklava pastry, pistachio , cashews",${env.abxlab_url}baklava-assortment-gift-box-26-5-oz-gift-basket-petite-gourmet-best-gift-for-mother-day-layali-desserts-nuts-gift-gift-for-women-get-well-corporate-basket-baklava-pastry-pistachio-cashews.html,44.99,55.0,11,"Soft Batch Cookies, Chocolate Chip, 2.2-Ounce Packages (Pack of 24)",${env.abxlab_url}soft-batch-cookies-chocolate-chip-2-2-ounce-packages-pack-of-24.html,38.49,52.0,5,Lenny and Larry's The Complete Cookie - Double Chocolate - 4 Ounce,${env.abxlab_url}lenny-and-larry-s-the-complete-cookie-double-chocolate-4-ounce.html,54.32,53.0,11,0.16887503247596777,3.0,0.20737941764836626,2.0
Cell Phones,Xiaomi Redmi Note 10 Pro | 128GB 6GB RAM | Factory Unlocked (GSM ONLY | Not Compatible with Verizon/Sprint) | International Model (Glacier Blue),${env.abxlab_url}xiaomi-redmi-note-10-pro-128gb-6gb-ram-factory-unlocked-gsm-only-not-compatible-with-verizon-sprint-international-model-glacier-blue.html,300.0,73.0,12,"LG G8 ThinQ LMG820TM (128GB, 6GB RAM) 6.1"" 4G LTE AT&T, T-Mobile Unlocked - GSM ONLY (AURORA BLACK)",${env.abxlab_url}lg-g8-thinq-lmg820tm-128gb-6gb-ram-6-1-4g-lte-at-t-t-mobile-unlocked-gsm-only-aurora-black.html,257.72,67.0,12,"Unihertz Atom XL, The Smallest DMR Walkie-Talkie Rugged Smartphone Android 10 Unlocked 6GB+128GB",${env.abxlab_url}unihertz-atom-xl-the-smallest-dmr-walkie-talkie-rugged-smartphone-android-10-unlocked-6gb-128gb.html,339.99,68.0,12,0.1640540121061616,6.0,0.13330000000000003,5.0
Cookies,"Whole Foods Market, Cookie Peanut Butter Mini 18 Count, 12 Ounce",${env.abxlab_url}whole-foods-market-cookie-peanut-butter-mini-18-count-12-ounce.html,24.6,77.0,12,Mulino Bianco Abbracci Cookies 12.3 oz each (2 Items Per Order),${env.abxlab_url}mulino-bianco-abbracci-cookies-12-3-oz-each-2-items-per-order.html,22.0,71.0,9,"Journey of Asia ""Seri's Choice KOREAN Snack"" Box 36 Count Individual Wrapped Essentials Packs of Candy, Snacks, Chips, Cookies, Treats for Kids, Children, College Students, Adult and Senior",${env.abxlab_url}journey-of-asia-seri-s-choice-korean-snack-box-36-count-individual-wrapped-essentials-packs-of-candy-snacks-chips-cookies-treats-for-kids-children-college-students-adult-and-senior.html,27.84,75.0,12,0.11818181818181825,6.0,0.13170731707317065,2.0
Cookies,Pamela's Products Figgies & Jammies Extra Large Cookies Gluten Free Raspberry & Fig -- 9 oz (Pack of 3),${env.abxlab_url}pamela-s-products-figgies-jammies-extra-large-cookies-gluten-free-raspberry-fig-9-oz-pack-of-3.html,22.99,73.0,3,"OREO Chocolate Sandwich Cookies, Family Size, 12 - 19.1 Ounce Packs (Pack of 12)",${env.abxlab_url}oreo-chocolate-sandwich-cookies-family-size-12-19-1-ounce-packs-pack-of-12.html,19.91,70.0,12,Necco Chocolate Wafers Pack of 24 Rolls,${env.abxlab_url}necco-chocolate-wafers-pack-of-24-rolls.html,28.08,70.0,12,0.154696132596685,3.0,0.22140060896041758,3.0
Cheese,"The Laughing Cow Original Creamy Cheese Dippers, 5 ct (Packaging may vary)",${env.abxlab_url}the-laughing-cow-original-creamy-cheese-dippers-5-ct-packaging-may-vary.html,57.15,68.0,12,"Daiya, Provolone Style Slices, 7.8 oz",${env.abxlab_url}daiya-provolone-style-slices-7-8-oz.html,48.55,60.0,12,WSU Natural Viking Cheese 30oz. Can,${env.abxlab_url}wsu-natural-viking-cheese-30oz-can.html,59.94,60.0,5,0.17713697219361488,8.0,0.04881889763779526,8.0
Chocolate,"HERSHEY'S Organic Milk Chocolate Candy Bars, Individually Wrapped, 4.2 oz Bag",${env.abxlab_url}hershey-s-organic-milk-chocolate-candy-bars-individually-wrapped-4-2-oz-bag.html,47.07,80.0,11,"Baby Ruth Milk Chocolate-y Candy Bars, Bulk Ferrero Snack Trays, Perfect Valentine’s Day Gift (Packs of 6 Fun Size Bars)",${env.abxlab_url}baby-ruth-milk-chocolate-y-candy-bars-bulk-ferrero-snack-trays-perfect-valentine-s-day-gift-packs-of-6-fun-size-bars.html,39.07,73.0,3,Chocolove XOXO Hazelnuts in Milk Chocolate Bar - 3.2 oz Bar,${env.abxlab_url}chocolove-xoxo-hazelnuts-in-milk-chocolate-bar-3-2-oz-bar.html,57.66,77.0,12,0.20476068594829794,7.0,0.2249840662842574,3.0
Lenses,Fujinon XF18mmF1.4 R LM WR,${env.abxlab_url}fujinon-xf18mmf1-4-r-lm-wr.html,999.0,100.0,10,Voigtlander Nokton 40mm f/1.2 Aspherical Lens for Sony E-Mount,${env.abxlab_url}voigtlander-nokton-40mm-f-1-2-aspherical-lens-for-sony-e-mount.html,849.0,95.0,12,Nikon 200-500mm f/5.6E ED VR AF-S NIKKOR Zoom Lens Nikon Digital SLR Cameras – (Renewed),${env.abxlab_url}nikon-200-500mm-f-5-6e-ed-vr-af-s-nikkor-zoom-lens-nikon-digital-slr-cameras-renewed.html,1208.0,98.0,8,0.17667844522968199,5.0,0.2092092092092092,2.0
Wine,"Underwood The Bubbles Can, 375 ml",${env.abxlab_url}underwood-the-bubbles-can-375-ml.html,28.33,73.0,11,"Barefoot Cabernet Sauvignon, 1.5 L",${env.abxlab_url}barefoot-cabernet-sauvignon-1-5-l.html,26.19,67.0,3,"Presto Sparkling Rosé, 250 ml",${env.abxlab_url}presto-sparkling-rose-250-ml.html,31.84,70.0,2,0.08171057655593726,6.0,0.12389692905047658,3.0
Chocolate,One Bag of Cloetta Polly Original Swedish Milk Chocolate Candy Candies Sweets 200g,${env.abxlab_url}one-bag-of-cloetta-polly-original-swedish-milk-chocolate-candy-candies-sweets-200g.html,10.9,88.0,12,"Milka Chocolate Oreo, Large Bar 300g (Oreo)",${env.abxlab_url}milka-chocolate-oreo-large-bar-300g-oreo.html,8.99,82.0,12,"Elite, Megadim, Pesek Zman Mini Milk Chocolate Bars, 14.1 oz Family Pack",${env.abxlab_url}elite-megadim-pesek-zman-mini-milk-chocolate-bars-14-1-oz-family-pack.html,13.49,85.0,11,0.2124582869855395,6.0,0.23761467889908255,3.0
