category,template_title,url,arm,gap_pct,n_options_visible,small_id,medium_id,large_id,small_name,medium_name,large_name,small_qty,medium_qty,large_qty,large_qty_real,unit,P_small,P_medium,P_large,natural_price,group_id,product_id,multi_option_group
Cookies,Animal Crackers Original,http://localhost:7770/grace-animal-crackers-original-1-oz-6-cookies-galletas-de-animales-pack-of-4.html,baseline,,2,74712,74713,74714,Pack of 1,Pack of 2,Pack of 3,1.0,2.0,3.0,3.0,pack,7.74,,15.63,15.63,12650,22586,False
Cookies,Animal Crackers Original,http://localhost:7770/grace-animal-crackers-original-1-oz-6-cookies-galletas-de-animales-pack-of-4.html,treat-strong,0.08,3,74712,74713,74714,Pack of 1,Pack of 2,Pack of 3,1.0,2.0,3.0,3.0,pack,7.91,14.38,15.63,15.63,12650,22586,False
Cookies,Animal Crackers Original,http://localhost:7770/grace-animal-crackers-original-1-oz-6-cookies-galletas-de-animales-pack-of-4.html,treat-medium,0.1,3,74712,74713,74714,Pack of 1,Pack of 2,Pack of 3,1.0,2.0,3.0,3.0,pack,7.74,14.07,15.63,15.63,12650,22586,False
Cookies,Animal Crackers Original,http://localhost:7770/grace-animal-crackers-original-1-oz-6-cookies-galletas-de-animales-pack-of-4.html,treat-weak,0.15,3,74712,74713,74714,Pack of 1,Pack of 2,Pack of 3,1.0,2.0,3.0,3.0,pack,7.31,13.29,15.63,15.63,12650,22586,False
Cheese,Genuine Grana Padano Aged 24 Months Italian Import,http://localhost:7770/frank-and-sal-genuine-grana-padano-aged-24-months-italian-import-3-pound.html,baseline,,2,185459,185460,185461,1 Pound,2 Pound,3 Pound,1.0,2.0,3.0,3.0,lb,24.74,,49.99,49.99,29976,44424,False
Cheese,Genuine Grana Padano Aged 24 Months Italian Import,http://localhost:7770/frank-and-sal-genuine-grana-padano-aged-24-months-italian-import-3-pound.html,treat-strong,0.08,3,185459,185460,185461,1 Pound,2 Pound,3 Pound,1.0,2.0,3.0,3.0,lb,25.29,45.99,49.99,49.99,29976,44424,False
Cheese,Genuine Grana Padano Aged 24 Months Italian Import,http://localhost:7770/frank-and-sal-genuine-grana-padano-aged-24-months-italian-import-3-pound.html,treat-medium,0.1,3,185459,185460,185461,1 Pound,2 Pound,3 Pound,1.0,2.0,3.0,3.0,lb,24.74,44.99,49.99,49.99,29976,44424,False
Cheese,Genuine Grana Padano Aged 24 Months Italian Import,http://localhost:7770/frank-and-sal-genuine-grana-padano-aged-24-months-italian-import-3-pound.html,treat-weak,0.15,3,185459,185460,185461,1 Pound,2 Pound,3 Pound,1.0,2.0,3.0,3.0,lb,23.37,42.49,49.99,49.99,29976,44424,False
Cookies,Cream Crackers,http://localhost:7770/bakers-cream-crackers-200g-pack-of-2-imported-from-south-africa.html,baseline,,2,72906,72907,72908,Pack of 2,Pack of 4,Pack of 6,2.0,4.0,6.0,6.0,pack,5.44,,10.99,10.99,12292,21375,False
Cookies,Cream Crackers,http://localhost:7770/bakers-cream-crackers-200g-pack-of-2-imported-from-south-africa.html,treat-strong,0.08,3,72906,72907,72908,Pack of 2,Pack of 4,Pack of 6,2.0,4.0,6.0,6.0,pack,5.56,10.11,10.99,10.99,12292,21375,False
